C	N	Ni	Fe	Mn	Si	Cr	SFE
0.002	0.0011	15.75	64.9895	0.02	0.003	16.95	High
0.018	0.001	14.87	60.437	0.74	0.02	22.89	High
0.07	0.4	16.13	54.71	9.64	0.45	18.48	High
0.003	0.0071	15.4	69.1557	0.03	0.02	13.09	High
0.047	0.205	3.71	71.218	6.74	0.32	17.48	Low
0.03	0.398	16.3	54.698	9.64	0.45	18.48	High
0.049	0.047	8.2	71.151	1.49	0.43	18.2	Low
0.02	0.002	14	66.409	0.03	0.01	17.1	High
0.002	0.0011	15.75	64.9895	0.02	0.003	16.95	High
4e-05	1e-04	12	69.99952	1e-04	2e-04	18	Low
0.021	0.085	14.84	58.676	0.8	0.48	22.68	High
0.047	0.205	3.71	71.218	6.74	0.32	17.48	Low
0.033	0.21	7.58	64.718	8.43	0.17	18.8	High
0.035	0.43	7.12	63.471	8.55	0.19	20.1	Low
0.002	0.0011	15.75	64.9895	0.02	0.003	16.95	High
4e-05	1e-04	10	69.99952	1e-04	2e-04	20	Low
0.004	0.003	15.6	64.317	0.03	0.02	17.5	High
0.028	0.0034	15.05	72.7166	1.09	0.002	11.06	Low
0.009	0.0032	11.87	71.5338	0.003	0.014	16.53	Low
0.041	0.054	8.1	70.875	1.71	0.33	18.2	Low
0.026	0.038	11.2	68.23	1.18	0.1	18.9	Low
0.05	0.04	3.7	72	6.6	0.9	16.7	Low
0.047	0.205	3.71	71.218	6.74	0.32	17.48	Low
0.023	0.006	13.93	65.964	0.85	0.02	16.85	High
0.03	0.01	5.9	69.65	7.1	1.1	16.2	Low
